Название вакансии,Компания,Зарплата,Ссылка,Опыт работы
Frontend-разработчик (Junior),Itwis,"30 000 – 60 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117435740?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Frontend-разработчик (Junior),Itwis,"30 000 – 60 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117435740?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Backend-разработчик (Junior),Itwis,"30 000 – 60 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117435680?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior - PHP-программист (Backend / FullStack),Веб-студия Александра Дроздова,"60 000 – 90 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117486078?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
PHP-программист Junior,ООО ИНЛАЙН,"30 000 – 35 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116833499?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
PHP-программист (Junior),Компания Intelsib,"40 000 – 50 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/112292212?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior/Junior+php программист (стажёр),ИП Ельмикеев Евгений Иванович,"от 30 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/112185460?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
PHP-разработчик (junior),ООО 1C-Рарус,"от 70 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117379268?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior Web Full-Stack Разработчик,Военно-медицинская академия им. С. М. Кирова,"от 60 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117216705?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior PHP Developer,SIBERS,Не указана,https://novosibirsk.hh.ru/vacancy/116129855?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
PHP - разработчик (начальный уровень) / Junior программист,Micros Development,Не указана,https://novosibirsk.hh.ru/vacancy/117471048?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior PHP Backend Developer (Стажер),Travelata.ru (ООО Травелата),"30 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116710571?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
"Junior backend разработчик Node.js , JavaScript",Облачная платформа Cenix.pro,"от 70 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115536832?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
PHP-программист (junior),ООО Производственные Задачи,"от 50 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116828209?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior/Middle PHP-разработчик,Digital-агентство AiR,"60 000 – 90 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116774033?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Программист PHP (Junior/Middle),MPFIT,"от 80 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117467619?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
"Junior Golang/PHP Backend Developer (Пермь, офис)",Где мои дети,Не указана,https://novosibirsk.hh.ru/vacancy/117307270?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Веб-разработчик (junior),ООО Лаборатория Интернет,"от 35 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117430789?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
